34,58,35
16,98,27
17,91,38
52,99,30
10,23,9
35,39,4
33,60,52
18,63,13
25,26,32
29,19,18
76,77,3
79,2,1
61,53,84
75,44,76
55,15,29
62,36,56
66,6,25
70,88,65
74,28,79
82,80,71
85,67,92
87,83,54
90,45,96
100,22,68
78,11,61
51,69,94
94,41,51
71,50,78
68,31,66
54,89,75
96,12,55
65,48,62
92,5,87
56,49,85
84,37,74
1,43,100
3,86,70
8,57,90
27,95,82
30,14,33
13,72,10
9,40,8
32,24,16
4,73,17
46,64,34
38,47,46
63,42,63
20,81,20
83,93,86
53,21,53
91,7,91
86,59,98
98,20,83
89,34,99
99,46,67
67,16,57
60,33,89
57,25,60
97,29,97
73,82,69
64,90,93
93,70,64
69,100,81
72,87,73
81,74,72
43,85,43
31,62,80
5,55,88
49,75,28
50,78,26
21,94,21
88,66,77
23,51,22
19,61,95
37,68,58
15,96,12
11,71,59
80,79,40
58,54,47
28,92,11
7,56,24
77,65,23
6,10,5
40,3,15
44,84,19
22,1,7
48,8,49
59,13,31
24,9,6
47,18,50
95,76,14
14,32,45
26,27,2
12,30,41
41,4,48
42,35,44
36,38,42
2,17,37
45,52,39
39,97,36
