35,33,33
39,70,70
5,85,85
82,86,86
44,55,55
40,71,71
67,93,93
69,60,60
76,79,79
63,68,68
66,84,84
54,65,65
84,87,87
93,83,83
55,100,100
71,66,66
85,52,52
86,63,63
60,76,76
68,40,40
87,64,64
65,44,44
83,69,69
100,53,53
64,54,54
61,75,75
88,29,29
47,91,91
29,67,67
8,47,47
17,61,61
15,5,5
16,17,17
33,8,8
21,15,15
1,57,57
4,77,77
24,39,39
89,16,16
25,21,21
13,88,88
45,82,82
80,74,74
97,1,1
41,4,4
34,51,51
59,24,24
56,59,59
73,35,35
77,32,32
19,41,41
52,36,36
94,10,10
91,45,45
62,22,22
75,34,34
20,48,48
99,25,25
26,13,13
98,78,78
96,30,30
79,26,26
78,96,96
7,73,73
58,58,58
57,62,62
51,56,56
81,9,9
37,3,3
6,46,46
92,2,2
28,27,27
74,80,80
2,94,94
72,92,92
90,37,37
12,11,11
70,28,28
42,89,89
10,81,81
11,19,19
53,90,90
95,49,49
9,23,23
14,43,43
32,50,50
46,6,6
27,38,38
3,18,18
49,12,12
38,97,97
50,72,72
43,7,7
36,99,99
30,98,98
18,31,31
31,42,42
22,14,14
48,20,20
23,95,95
