36,72,72
63,29,29
60,5,5
59,94,94
75,88,88
53,92,92
62,95,95
69,61,61
64,3,3
98,17,17
51,33,33
67,19,19
65,77,77
87,76,76
47,26,26
24,39,39
1,68,68
34,97,97
45,55,55
89,78,78
74,71,71
11,93,93
83,21,21
77,52,52
8,81,81
58,90,90
49,37,37
93,56,56
91,6,6
31,22,22
68,58,58
50,83,83
7,20,20
97,89,89
81,40,40
94,74,74
70,41,41
55,46,46
61,54,54
76,11,11
42,45,45
84,49,49
92,69,69
71,60,60
52,59,59
90,75,75
41,63,63
39,53,53
43,62,62
38,98,98
73,51,51
2,57,57
30,80,80
99,36,36
54,67,67
4,64,64
23,66,66
10,82,82
46,87,87
22,34,34
18,47,47
79,86,86
56,24,24
48,1,1
9,50,50
28,7,7
14,85,85
33,31,31
21,8,8
32,10,10
26,99,99
85,18,18
86,70,70
96,30,30
15,4,4
44,84,84
78,14,14
5,79,79
40,42,42
100,27,27
12,35,35
37,38,38
82,15,15
72,65,65
6,12,12
13,2,2
35,32,32
20,9,9
95,43,43
66,44,44
25,13,13
16,23,23
17,91,91
19,48,48
29,25,25
57,28,28
27,16,16
3,73,73
80,96,96
88,100,100
