68,4,30
35,42,33
80,23,84
41,15,31
16,14,73
85,2,95
97,18,20
75,47,27
99,9,16
100,6,25
64,8,36
13,40,50
69,45,39
59,7,28
94,26,21
6,24,24
37,49,32
27,1,46
7,34,38
63,29,10
26,10,22
34,19,19
56,44,41
62,3,42
22,12,8
47,11,48
15,5,15
12,17,5
5,37,1
58,43,26
39,13,17
23,22,40
19,21,35
38,20,29
48,41,12
87,27,49
8,25,79
43,28,18
2,60,94
78,86,3
10,32,7
49,77,64
40,81,68
32,76,2
4,100,80
42,51,44
14,87,97
18,39,75
17,54,85
3,83,11
29,52,13
66,53,100
50,97,99
25,74,43
28,61,9
45,65,37
54,82,58
1,59,34
46,62,4
44,78,6
24,88,59
21,56,23
57,80,14
20,85,87
11,16,45
98,75,63
9,69,69
60,63,56
36,66,62
81,92,47
88,70,96
79,91,78
93,72,54
92,67,98
86,93,66
76,71,57
31,90,55
53,33,81
65,48,93
55,31,60
72,35,86
52,36,76
70,30,88
82,64,89
77,68,92
96,57,53
83,94,77
90,46,65
89,38,72
67,99,52
91,89,70
95,50,82
51,98,83
71,55,90
73,58,67
33,84,91
84,73,51
74,79,71
61,96,74
30,95,61
