17,6,17
3,1,9
1,12,8
9,13,5
7,3,3
6,17,1
10,9,16
8,8,6
5,7,11
16,2,10
11,10,2
12,5,7
13,4,4
2,20,12
4,11,13
14,16,15
15,15,19
19,18,20
20,14,14
18,19,18
