13,53,45
46,72,58
50,17,50
22,56,3
6,35,14
90,95,18
23,71,60
45,70,24
82,83,2
96,54,79
18,64,41
14,12,22
28,1,34
44,61,23
63,49,13
42,19,42
3,9,46
65,27,28
47,76,37
37,15,44
25,66,10
2,16,26
10,59,39
93,38,6
20,77,36
92,48,55
97,11,25
67,8,47
57,29,20
100,21,57
68,43,69
75,33,85
91,31,87
26,78,68
87,4,67
69,73,97
85,7,100
41,32,75
55,30,92
79,5,91
24,40,93
58,62,65
60,80,63
39,94,82
34,90,96
36,88,31
86,98,33
84,99,8
66,74,48
33,89,27
31,86,38
27,47,19
94,36,15
8,84,12
81,28,16
80,20,84
98,51,29
89,26,35
61,81,90
83,46,49
48,42,4
72,3,32
73,37,43
38,41,7
70,44,9
53,22,40
15,25,1
52,39,86
54,50,17
4,10,11
12,23,5
49,34,30
9,45,66
64,6,83
29,24,21
99,18,94
88,2,89
19,13,70
16,14,81
1,52,54
43,96,52
59,82,53
71,63,80
62,93,88
5,92,72
7,65,61
35,67,98
78,97,73
30,100,62
76,91,78
32,57,99
21,85,74
17,68,76
74,87,64
77,55,59
51,75,77
95,69,71
56,60,51
11,79,95
40,58,56
