35,33,41
39,70,4
5,85,33
82,86,82
44,55,88
40,71,39
67,93,67
69,60,16
76,79,8
63,68,61
66,84,54
54,65,69
84,87,76
93,83,63
55,100,66
71,66,84
85,52,100
86,63,87
60,76,83
68,40,65
87,64,93
65,44,86
83,69,85
100,53,55
64,54,71
61,75,60
88,29,68
47,91,64
29,67,40
8,47,44
17,61,47
15,5,29
16,17,5
33,8,15
21,15,17
1,57,21
4,77,1
24,39,35
89,16,24
25,21,25
13,88,45
45,82,34
80,74,13
97,1,19
41,4,37
34,51,20
59,24,89
56,59,46
73,35,49
77,32,11
19,41,31
52,36,12
94,10,50
91,45,26
62,22,7
75,34,38
20,48,6
99,25,23
26,13,2
98,78,42
96,30,14
79,26,32
78,96,28
7,73,18
58,58,36
57,62,10
51,56,22
81,9,80
37,3,43
6,46,30
92,2,27
28,27,3
74,80,9
2,94,48
72,92,97
90,37,59
12,11,73
70,28,94
42,89,56
10,81,99
11,19,62
53,90,77
95,49,96
9,23,52
14,43,98
32,50,58
46,6,91
27,38,75
3,18,81
49,12,78
38,97,79
50,72,57
43,7,51
36,99,92
30,98,74
18,31,90
31,42,70
22,14,72
48,20,53
23,95,95
