35,33,48
39,70,18
5,85,30
82,86,36
44,55,9
40,71,43
67,93,23
69,60,32
76,79,28
63,68,22
66,84,27
54,65,10
84,87,12
93,83,14
55,100,42
71,66,3
85,52,2
86,63,38
60,76,7
68,40,31
87,64,50
65,44,6
83,69,11
100,53,95
64,54,26
61,75,46
88,29,49
47,91,37
29,67,53
8,47,72
17,61,70
15,5,90
16,17,74
33,8,92
21,15,20
1,57,19
4,77,51
24,39,57
89,16,79
25,21,78
13,88,81
45,82,75
80,74,91
97,1,58
41,4,98
34,51,52
59,24,96
56,59,77
73,35,62
77,32,99
19,41,56
52,36,94
94,10,73
91,45,59
62,22,13
75,34,34
20,48,97
99,25,45
26,13,80
98,78,25
96,30,89
79,26,24
78,96,4
7,73,1
58,58,35
57,62,33
51,56,21
81,9,17
37,3,41
6,46,5
92,2,15
28,27,16
74,80,29
2,94,40
72,92,44
90,37,47
12,11,64
70,28,68
42,89,60
10,81,71
11,19,55
53,90,85
95,49,86
9,23,93
14,43,65
32,50,83
46,6,87
27,38,100
3,18,84
49,12,66
38,97,63
50,72,76
43,7,69
36,99,54
30,98,61
18,31,67
31,42,88
22,14,82
48,20,39
23,95,8
