78,38,75
80,44,88
100,23,85
83,3,77
93,26,39
91,10,96
95,28,44
79,43,98
63,13,56
76,35,65
53,5,72
57,25,62
84,40,27
17,48,89
51,12,6
52,15,2
45,6,73
55,33,68
16,37,67
9,42,54
54,36,41
74,1,94
69,19,42
59,29,71
87,24,43
90,14,99
70,41,66
62,27,58
56,18,82
72,39,37
49,46,36
81,8,28
11,45,86
92,11,24
64,2,3
68,50,48
21,34,60
82,9,12
46,30,1
65,22,87
61,7,74
77,4,29
22,31,64
58,84,5
71,21,26
25,95,81
89,49,8
97,20,55
67,62,79
18,79,61
60,78,84
98,47,70
19,32,14
33,61,53
20,64,34
99,82,50
38,67,13
94,55,38
32,68,95
96,75,23
47,16,59
86,81,10
35,77,4
40,69,15
7,87,69
31,96,52
66,72,76
73,65,63
75,56,19
8,73,80
23,80,30
5,17,31
10,93,100
88,52,40
12,66,35
4,54,92
85,71,90
15,85,51
29,53,93
34,97,83
30,98,46
1,63,25
13,58,78
50,88,45
48,94,33
26,74,18
24,89,97
2,91,7
6,92,57
37,99,32
14,86,91
43,76,47
36,83,20
28,70,11
42,60,21
44,90,9
3,51,22
41,57,49
27,59,16
39,100,17
