19,59,1
58,11,69
44,6,80
68,70,97
33,8,54
86,62,82
81,85,16
90,4,7
99,1,67
36,74,17
56,76,70
28,93,60
30,92,20
27,13,48
65,36,55
38,22,100
34,75,74
72,95,59
57,99,79
23,91,6
43,100,62
49,79,89
64,54,83
40,16,18
63,35,76
24,94,61
73,45,32
42,20,91
15,46,3
25,38,93
51,67,11
46,68,50
94,71,9
53,89,45
29,24,2
87,10,96
12,34,14
75,9,8
77,88,85
71,29,39
13,18,77
88,21,35
31,15,10
47,47,98
21,63,22
52,82,5
14,80,95
37,53,92
41,7,12
26,72,4
9,5,87
5,96,52
8,84,29
92,60,71
84,83,94
32,32,37
96,48,66
45,37,26
39,58,78
4,77,51
95,17,38
35,39,88
76,69,47
2,3,73
83,73,84
85,28,81
22,97,15
10,98,30
18,14,13
11,66,43
89,81,46
98,44,41
100,86,53
3,55,21
48,90,24
60,41,27
93,87,68
91,50,63
61,43,31
6,51,33
59,52,57
78,2,23
55,42,28
50,64,36
79,30,75
70,33,40
62,40,64
74,57,34
82,78,72
7,49,86
66,61,42
17,23,99
16,27,65
20,56,56
54,31,58
67,19,25
1,26,19
97,25,44
80,65,49
69,12,90
