13,53,58
46,72,60
50,17,79
22,56,55
6,35,57
90,95,69
23,71,85
45,70,87
82,83,68
96,54,67
18,64,97
14,12,100
28,1,75
44,61,92
63,49,91
42,19,93
3,9,65
65,27,63
47,76,82
37,15,96
25,66,50
2,16,24
10,59,22
93,38,3
20,77,45
92,48,44
97,11,2
67,8,23
57,29,18
100,21,34
68,43,36
75,33,6
91,31,47
26,78,28
87,4,14
69,73,46
85,7,39
41,32,13
55,30,10
79,5,42
24,40,37
58,62,26
60,80,20
39,94,41
34,90,25
36,88,84
86,98,90
84,99,86
66,74,66
33,89,83
31,86,94
27,47,89
94,36,33
8,84,48
81,28,31
80,20,70
98,51,81
89,26,54
61,81,52
83,46,27
48,42,53
72,3,8
73,37,38
38,41,80
70,44,88
53,22,72
15,25,61
52,39,98
54,50,73
4,10,62
12,23,49
49,34,15
9,45,78
64,6,12
29,24,99
99,18,74
88,2,29
19,13,16
16,14,19
1,52,76
43,96,32
59,82,4
71,63,64
62,93,1
5,92,9
7,65,59
35,67,77
78,97,71
30,100,40
76,91,11
32,57,51
21,85,17
17,68,43
74,87,95
77,55,5
51,75,7
95,69,21
56,60,30
11,79,56
40,58,35
